City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Aljezur,PT,65.71,scattered clouds,37.3191,-8.8033,Amazigh Hostel
3,Hilo,US,81.81,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
4,Southbridge,US,76.93,overcast clouds,42.0751,-72.0334,Southbridge Hotel & Conference Center
6,Rikitea,PF,71.01,few clouds,-23.1203,-134.9692,People ThankYou
7,Muros,ES,65.98,clear sky,42.7762,-9.0603,Apartment Av. Castelao
8,Port Alfred,ZA,61.16,broken clouds,-33.5906,26.891,The Halyards Hotel
10,Lakota,CI,69.73,broken clouds,5.8528,-5.6883,Aziz bah divers
11,Puerto Carreno,CO,83.44,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
12,Harper,LR,75.49,few clouds,4.375,-7.7169,Screensaver
16,Miraflores,MX,78.03,broken clouds,19.2167,-98.8083,Hotel Mansión
17,Zomin,UZ,82.58,clear sky,39.9606,68.3958,Orol hotel
19,Fonte Boa,BR,80.73,overcast clouds,-2.4959,-66.2662,
20,Bambous Virieux,MU,70.05,few clouds,-20.3428,57.7575,Casa Tia Villa
24,Jamestown,US,84.29,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
25,Thompson,CA,64.56,few clouds,55.7435,-97.8558,Burntwood Hotel
28,Georgetown,MY,82.89,few clouds,5.4112,100.3354,Cititel Penang
31,Pokhara,NP,72.93,overcast clouds,28.2333,83.9833,Butterfly Lodge
34,Atuona,PF,77.81,broken clouds,-9.8,-139.0333,Villa Enata
36,Albany,US,83.03,scattered clouds,42.6001,-73.9662,
39,Valleyview,CA,73.44,overcast clouds,55.0667,-117.2859,Paradise Inn & Suites
41,Marakkanam,IN,84.42,overcast clouds,12.2,79.95,OYO 73765 Ocean Breeze Guest House
42,Kapaa,US,82.72,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
44,Dodge City,US,80.64,scattered clouds,37.7528,-100.0171,Windsor Inn & Suites
45,Avarua,CK,78.85,broken clouds,-21.2078,-159.775,Paradise Inn
47,Unai,BR,69.17,clear sky,-16.3575,-46.9061,Hotel Regente
50,Doka,SD,70.41,overcast clouds,13.5167,35.7667,
55,Bocas Del Toro,PA,83.07,overcast clouds,9.3333,-82.25,Hotel Bocas del Toro
56,Shashi,CN,75.04,light rain,30.3072,112.2447,Xingyu Hotel
58,Fevik,NO,70.63,light rain,58.3794,8.6766,Strand Hotel Fevik - by Classic Norway Hotels
60,Knyaze-Volkonskoye,RU,75.54,broken clouds,48.4642,135.4567,Obshchezhitiye
62,Leh,IN,71.15,overcast clouds,34.1667,77.5833,Hotel Ladakh Greens
63,Iquique,CL,60.84,overcast clouds,-20.2208,-70.1431,Backpacker`s Hostel Iquique
65,Port-Gentil,GA,76.96,overcast clouds,-0.7193,8.7815,Fengshui Residence
67,Vila Franca Do Campo,PT,70.21,scattered clouds,37.7167,-25.4333,Pestana Bahia Praia
70,Biltine,TD,76.75,overcast clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
73,Voi,KE,65.26,clear sky,-3.3945,38.563,Voi Wildlife Lodge
74,Cape Town,ZA,60.12,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
75,Boende,CD,77.9,broken clouds,-0.2167,20.8667,
77,Pedernales,DO,82.45,overcast clouds,18.0384,-71.744,Hotel Costa Marina
78,Yining,CN,74.68,clear sky,29.0361,114.5636,Xiushui Hotel
