,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ushuaia,AR,-54.8,-68.3,35.26,87,40,26.46,scattered clouds
1,Aljezur,PT,37.3191,-8.8033,65.71,96,35,9.17,scattered clouds
2,Mayo,US,38.8876,-76.5119,90.52,72,20,3.0,few clouds
3,Hilo,US,19.7297,-155.09,81.81,83,90,6.91,moderate rain
4,Southbridge,US,42.0751,-72.0334,76.93,92,99,7.7,overcast clouds
5,Barrow,US,71.2906,-156.7887,44.62,93,90,11.5,light rain
6,Rikitea,PF,-23.1203,-134.9692,71.01,67,19,4.7,few clouds
7,Muros,ES,42.7762,-9.0603,65.98,84,8,6.4,clear sky
8,Port Alfred,ZA,-33.5906,26.891,61.16,37,65,10.27,broken clouds
9,Mar Del Plata,AR,-38.0023,-57.5575,52.09,60,90,8.01,overcast clouds
10,Lakota,CI,5.8528,-5.6883,69.73,96,70,2.84,broken clouds
11,Puerto Carreno,CO,6.189,-67.4859,83.44,71,99,1.9,overcast clouds
12,Harper,LR,4.375,-7.7169,75.49,76,22,6.24,few clouds
13,Ust-Ordynskiy,RU,52.805,104.7508,51.64,76,2,3.83,clear sky
14,Hermanus,ZA,-34.4187,19.2345,59.9,53,100,9.86,overcast clouds
15,Kirkwood,US,38.5834,-90.4068,89.58,72,90,1.99,overcast clouds
16,Miraflores,MX,19.2167,-98.8083,78.03,91,82,3.36,broken clouds
17,Zomin,UZ,39.9606,68.3958,82.58,19,0,6.2,clear sky
18,Castro,BR,-24.7911,-50.0119,57.04,65,2,4.47,clear sky
19,Fonte Boa,BR,-2.4959,-66.2662,80.73,75,100,1.03,overcast clouds
20,Bambous Virieux,MU,-20.3428,57.7575,70.05,60,20,8.05,few clouds
21,Bredasdorp,ZA,-34.5322,20.0403,50.29,93,100,2.3,overcast clouds
22,Dikson,RU,73.5069,80.5464,40.68,81,100,12.93,overcast clouds
23,Punta Arenas,CL,-53.15,-70.9167,37.51,81,0,14.97,clear sky
24,Jamestown,US,42.097,-79.2353,84.29,57,1,11.5,clear sky
25,Thompson,CA,55.7435,-97.8558,64.56,39,20,13.8,few clouds
26,Qasigiannguit,GL,68.8193,-51.1922,53.85,55,100,3.62,overcast clouds
27,Carnarvon,AU,-24.8667,113.6333,51.87,73,2,5.75,clear sky
28,Georgetown,MY,5.4112,100.3354,82.89,87,20,1.01,few clouds
29,Mehamn,NO,71.0357,27.8492,44.51,85,100,14.05,overcast clouds
30,Guayaramerin,BO,-10.8368,-65.3614,86.38,39,22,2.21,few clouds
31,Pokhara,NP,28.2333,83.9833,72.93,95,100,2.08,overcast clouds
32,Ostrovnoy,RU,68.0531,39.5131,45.43,90,100,16.91,overcast clouds
33,Atar,MR,20.5169,-13.0499,100.56,18,98,13.22,overcast clouds
34,Atuona,PF,-9.8,-139.0333,77.81,71,54,23.22,broken clouds
35,Sandusky,US,41.3501,-83.1332,89.74,55,53,7.65,broken clouds
36,Albany,US,42.6001,-73.9662,83.03,78,36,1.01,scattered clouds
37,Hobart,AU,-42.8794,147.3294,44.92,70,20,1.01,few clouds
38,Coihaique,CL,-45.5752,-72.0662,43.41,56,40,4.61,scattered clouds
39,Valleyview,CA,55.0667,-117.2859,73.44,28,87,14.97,overcast clouds
40,Airai,TL,-8.9266,125.4092,54.81,57,66,3.18,broken clouds
41,Marakkanam,IN,12.2,79.95,84.42,66,100,11.3,overcast clouds
42,Kapaa,US,22.0752,-159.319,82.72,79,75,3.0,light rain
43,Saint George,US,37.1041,-113.5841,97.32,31,1,8.05,clear sky
44,Dodge City,US,37.7528,-100.0171,80.64,46,43,21.09,scattered clouds
45,Avarua,CK,-21.2078,-159.775,78.85,78,75,9.22,broken clouds
